Vehicle_ID,Global_Time,Lane_ID,Movement_Type,Frame_ID,Total_Frames,Local_X,Local_Y,v_Vel,v_Acc,Lateral_Velocity,Lateral_Acceleration,Yaw_Angle
204,1113437691400,5,Left,1265,1102,48.799,173.691,12.36,-1.71,0.0155700000000001,-6.099999999992188e-06,1.56437380752465
1360,1113433541200,5,Lane Keeping,4063,482,53.488,425.559,38.47,11.2,0.0145600000000001,1.499999999999774e-05,1.5714831398737157
2591,1118848789500,2,Left,9475,629,19.944,845.332,39.95,-0.49,0.0,0.0,0.0
2286,1113433821700,5,Lane Keeping,6868,834,54.093,295.938,0.0,0.0,0.05,0.0,1.5771962394157106
1360,1113433543800,5,Lane Keeping,4089,482,53.702,530.416,39.75,-2.29,0.0249800000000004,-2.0999999999958205e-06,1.5840061268311991
2742,1113437639200,6,Right,8723,1258,65.538,608.702,5.02,2.45,0.0488599999999996,1.5699999999992596e-05,1.586349718437422
2286,1113433860800,5,Lane Keeping,7259,834,54.154,1106.224,25.0,0.0,0.0313400000000001,1.5000000000003414e-05,1.560586088121246
2482,1118847761900,3,Left,7830,780,29.745,2010.909,29.89,2.12,0.0120800000000008,-4.599999999982171e-06,1.558379746385351
37,1163047900,11,Lane Keeping,293,263,6.529,1921.415,17.57,8.47,0.0167399999999997,1.1599999999998556e-05,1.3210444302293534
1360,1113433536700,5,Lane Keeping,4018,482,50.281,253.801,37.3,9.36,0.012059999999999,-1.0000000002036158e-07,1.5550430695298845
37,1118848785900,4,Right,289,806,39.439,194.657,24.64,-4.16,0.006619999999998,-1.7900000000031467e-05,1.59345106052208
204,1113433239700,1,Lane Keeping,1048,405,4.429,556.707,28.0,-0.12,0.0099899999999991,-2.000000000179983e-07,1.5717973274615602
204,1113433250200,1,Lane Keeping,1153,405,3.43,915.195,40.0,0.0,0.0100100000000009,1.0000000000899915e-07,1.569797326128226
2482,1118848788800,1,Left,9468,732,7.619,1817.76,22.62,0.0,0.0020199999999999,0.0,1.5757467814037285
2591,1113437631000,1,Left,8641,380,5.982,1378.794,43.46,-0.56,0.0268299999999999,9.300000000001773e-06,1.5726599101760972
2591,1113437606100,1,Left,8392,380,4.311,342.2,37.83,-8.37,0.0218899999999999,2.5999999999982285e-06,1.4638509665833068
37,1118848859100,4,Right,1021,806,42.453,2107.839,19.89,2.15,0.03817,4.550000000000408e-05,1.6474079423918873
2591,1113437634000,1,Left,8671,380,5.37,1508.142,42.9,8.47,0.0365199999999993,-3.00000000015635e-07,1.5787370142183477
2591,1118848764600,2,Right,9226,629,17.842,275.247,28.09,5.5,0.0149899999999991,-1.0000000000899915e-07,1.907084793371575
37,1118936818400,3,Right,1185,1247,28.12,1159.062,34.78,3.7,0.00596,2.1000000000015016e-06,1.5707963267948966
1893,1113438254600,7,Right,6897,1644,88.897,325.368,3.67,0.0,0.0,0.0,0.0
2286,1113433818000,5,Lane Keeping,6831,834,54.868,265.787,16.82,-11.2,0.0497399999999998,6.899999999996006e-06,1.53442315198881
2742,1113437619200,6,Right,8523,1258,65.663,382.239,9.85,-1.05,0.0340800000000012,-2.999999999701852e-07,1.5174432527079342
2591,1118847765300,5,Right,7864,633,53.511,1674.431,6.37,10.7,0.0203999999999996,3.800000000001094e-06,1.575208062878071
37,1163052100,0,Lane Keeping,335,263,-5.43,2004.612,21.87,-0.72,0.0178100000000017,-6.999999999834223e-07,2.192107270822927
37,1113437646800,4,Left,819,1430,41.685,276.107,14.0,0.0,0.0107400000000001,-1.999999999981184e-07,1.5698652283675072
37,1118848797800,4,Right,408,806,41.161,414.129,23.67,0.0,0.0091099999999983,-1.5000000000327423e-06,1.5762847458896596
2286,1113433855500,5,Lane Keeping,7206,834,50.958,955.522,29.86,0.75,0.02768,-1.0000000000048165e-07,1.5866909418847417
