Vehicle_ID,Global_Time,Lane_ID,Movement_Type,Frame_ID,Total_Frames,Local_X,Local_Y,v_Vel,v_Acc,Lateral_Velocity,Lateral_Acceleration,Yaw_Angle
37,1163027700,1,Lane Keeping,91,263,26.149,1619.013,22.72,0.0,,,
37,1163027900,0,Lane Keeping,93,263,24.827,1623.502,22.72,0.0,0.022419999999999617,-5.000000000109084e-07,1.8558574067499665
37,1163028000,0,Lane Keeping,94,263,24.177,1625.739,22.72,0.0,0.0223700000000008,-4.999999999881836e-07,1.8535773521092749
37,1163028100,0,Lane Keeping,95,263,23.537,1627.971,22.72,0.0,0.022319999999999708,-5.000000000109084e-07,1.850042507050713
37,1163028200,0,Lane Keeping,96,263,22.9,1630.226,22.72,-6.1,0.02255000000000109,2.300000000013819e-06,1.846106370461622
37,1163028300,0,Lane Keeping,97,263,22.273,1632.395,21.98,-9.2,0.02168999999999869,-8.600000000024006e-06,1.8521987318206075
37,1163028400,0,Lane Keeping,98,263,21.67,1634.433,21.47,-4.37,0.02038000000000011,-1.3099999999985797e-05,1.8584674797959333
37,1163028500,0,Lane Keeping,99,263,21.098,1636.431,21.44,4.28,0.019980000000000473,-3.999999999996368e-06,1.8496247365769005
37,1163028600,0,Lane Keeping,100,263,20.553,1638.491,21.88,8.16,0.020599999999999456,6.1999999999898245e-06,1.8294337875765243
37,1163028700,0,Lane Keeping,101,263,20.018,1640.678,22.45,3.62,0.021870000000001256,1.270000000001801e-05,1.8107120147623803
37,1163028800,0,Lane Keeping,102,263,19.485,1642.911,22.63,-0.94,0.022329999999999472,4.599999999982153e-06,1.8051045021555232
37,1163029000,1,Lane Keeping,104,263,18.439,1647.297,22.46,-0.95,0.021890000000000784,-7.999999999810589e-07,1.804024776090315
37,1163029100,1,Lane Keeping,105,263,17.924,1649.478,22.36,-0.95,0.0218100000000004,-8.000000000038532e-07,1.8026790831523714
37,1163029200,1,Lane Keeping,106,263,17.414,1651.651,22.27,-0.94,0.021730000000000017,-8.000000000038185e-07,1.8013226165334628
37,1163029300,1,Lane Keeping,107,263,16.909,1653.816,22.19,-0.94,0.021649999999999635,-8.000000000038185e-07,1.7999552513839927
37,1163029400,1,Lane Keeping,108,263,16.409,1655.973,22.1,-0.94,0.021569999999999253,-8.000000000038185e-07,1.7985768610030894
37,1163029500,1,Lane Keeping,109,263,15.914,1658.122,22.0,-0.95,0.021490000000001147,-7.999999999810589e-07,1.7971873168059926
37,1163029600,1,Lane Keeping,110,263,15.423,1660.262,21.91,-0.95,0.021399999999998726,-9.000000000242147e-07,1.7963320751211083
37,1163029700,1,Lane Keeping,111,263,14.936,1662.394,21.82,-0.95,0.02132000000000062,-7.999999999810589e-07,1.7953673963770909
37,1163029800,1,Lane Keeping,112,263,14.453,1664.517,21.72,-0.95,0.021230000000000474,-9.000000000014552e-07,1.7944968647408859
37,1163029900,1,Lane Keeping,113,263,13.972,1666.631,21.64,-0.95,0.02114000000000033,-9.000000000014552e-07,1.7945182614820117
