Vehicle_ID,Global_Time,Lane_ID,Movement_Type,Frame_ID,Total_Frames,Local_X,Local_Y,v_Vel,v_Acc,Lateral_Velocity,Lateral_Acceleration,Yaw_Angle
37,1163027800,0,Left,92,263,25.484,1621.26,22.72,0.0,0.022470000000000708,,1.8585335389989317
37,1163048500,1,Left,299,263,9.892,1931.922,18.34,0.0,0.01747000000000071,1.0000000002039627e-07,1.261114151978497
37,1163050000,0,Left,314,263,6.9,1963.782,25.08,-12.27,0.02451000000000022,-1.539999999997689e-05,1.9465807712805197
568,1163359400,0,Left,3291,35,12.603,2042.64,22.73,0.0,0.007749999999999986,7.750001801930098e-05,1.5656350823019733
1070,1163626900,1,Left,5966,446,-11.132,2062.944,34.22,0.0,0.00992999999999995,-7.000000000005092e-07,1.5687822308275117
1070,1163627000,0,Left,5967,446,-10.999,2059.524,34.22,0.0,0.01007000000000005,1.4000000000010011e-06,1.5678171896303121
1070,1163652300,0,Left,6220,446,-12.817,1650.955,21.97,12.27,0.0,0.0,0.0
1070,1163667300,0,Left,6370,446,-24.317,1245.782,23.74,12.27,0.018899999999999865,-1.3000000000005021e-06,1.558098596568805
1360,1163788300,0,Left,7580,33,2.666,2058.434,21.04,0.0,0.014010000000000104,1.0000000000330925e-07,1.5700825510417349
1360,1163872500,0,Left,8539,30,14.649,2025.415,22.19,0.0,0.013710000000000378,1.0000000000901649e-07,1.5839246753484366
204,1113433225800,1,Left,909,405,5.123,65.549,45.5,0.0,0.007249999999999659,-5.689893001203927e-18,1.540460807991944
2286,1113433812700,5,Left,6778,834,60.229,147.968,22.89,-0.3,0.04774000000000001,6.900000000001697e-06,1.6070184324408452
1070,1113437095400,4,Left,3285,680,47.897,1578.24,17.12,-6.46,0.03,-2.0000000001803298e-07,1.5724629919183568
1893,1113437369800,1,Left,6029,357,6.376,67.062,37.38,0.0,0.03,0.0,1.5704629934739074
2591,1113437598900,1,Left,8320,380,4.863,61.05,39.4,0.0,0.0,0.0,0.0
2591,1113437599000,1,Left,8321,380,4.874,66.55,39.4,0.0,0.0,0.0,0.0
2591,1113437599100,1,Left,8322,380,4.875,70.562,39.4,0.0,0.0,0.0,0.0
2591,1113437599200,1,Left,8323,380,4.874,75.062,39.4,0.0,0.0,0.0,0.0
2591,1113437599300,1,Left,8324,380,4.874,78.561,39.4,0.0,0.0,0.0,0.0
2591,1113437599500,1,Left,8326,380,4.872,86.505,40.08,9.19,0.0,0.0,0.0
2591,1113437599600,1,Left,8327,380,4.871,90.581,40.86,6.44,0.0,0.0,0.0
2591,1113437599800,1,Left,8329,380,4.868,98.903,41.27,-3.16,0.0,0.0,0.0
2591,1113437599900,1,Left,8330,380,4.868,103.035,40.86,-6.08,0.0,0.0,0.0
2591,1113437600000,1,Left,8331,380,4.867,107.085,40.36,-4.7,0.0,0.0,0.0
2591,1113437600100,1,Left,8332,380,4.868,111.075,40.06,-1.27,0.0,0.0,0.0
2591,1113437600300,1,Left,8334,380,4.874,119.073,39.93,-1.25,0.0,0.0,0.0
2591,1113437600500,1,Left,8336,380,4.881,127.032,39.17,-5.75,0.0,0.0,0.0
2591,1113437600600,1,Left,8337,380,4.884,130.914,38.69,-4.43,0.0,0.0,0.0
2591,1113437600700,1,Left,8338,380,4.887,134.742,38.37,-1.78,0.0,0.0,0.0
2591,1113437600800,1,Left,8339,380,4.89,138.558,38.26,-0.15,0.0,0.0,0.0
2591,1113437600900,1,Left,8340,380,4.893,142.369,38.35,1.8,0.0,0.0,0.0
2591,1113437601000,1,Left,8341,380,4.896,146.188,38.77,5.85,0.0,0.0,0.0
2591,1113437601200,1,Left,8343,380,4.906,154.075,40.71,11.2,0.0,0.0,0.0
2591,1113437601300,1,Left,8344,380,4.896,158.211,42.02,11.2,0.0,0.0,0.0
2591,1113437601500,1,Left,8346,380,4.846,166.87,43.87,5.14,0.0,0.0,0.0
2591,1113437601600,1,Left,8347,380,4.817,171.31,44.21,1.14,0.0,0.0,0.0
37,1113437601600,4,Left,367,1430,42.076,35.578,7.75,0.0,0.0,0.0,0.0
