Vehicle_ID,Global_Time,Lane_ID,Movement_Type,Frame_ID,Total_Frames,Local_X,Local_Y,v_Vel,v_Acc,Lateral_Velocity,Lateral_Acceleration,Yaw_Angle
37,1163028900,1,Right,103,263,18.959,1645.108,22.54,-0.95,0.02196999999999889,-3.6000000000058206e-06,1.8057903528703259
37,1163030800,11,Right,122,263,9.882,1685.502,23.32,10.02,0.02255999999999858,1.469999999997071e-05,1.7238453354246848
37,1163053900,1,Right,353,263,-31.221,2038.269,21.22,0.0,0.030260000000000672,0.0001758000000000038,1.8656453001627105
568,1163359300,2,Right,3290,35,15.767,2042.06,22.73,0.0,-1.8019301120436724e-09,-2.7205514924300454e-14,-1.5342456523821282
568,1163362700,2,Right,3324,35,-67.874,2070.374,0.06,0.0,0.01,0.0,1.5687963294615543
1070,1163629200,1,Right,5989,446,-8.049,1984.281,34.51,1.53,0.006340000000000004,1.0000000000048165e-07,1.5960275642933928
1070,1163651000,2,Right,6207,446,-9.194,1663.961,8.32,0.0,0.0,0.0,0.0
1070,1163654900,2,Right,6246,446,-9.967,1585.48,23.51,-12.27,0.0,0.0,0.0
1070,1163671400,2,Right,6411,446,-46.016,1209.686,14.23,0.0,0.01413000000000011,2.5000000000034197e-06,1.570088612829543
1360,1163788200,11,Right,7579,33,1.497,2060.199,21.04,0.0,0.013999999999999773,-1.3000000000033645e-06,1.5707963267948966
1360,1163791400,1,Right,7611,33,38.514,2005.175,20.33,0.0,0.013700000000000045,0.0,1.583204449088732
1360,1163872400,2,Right,8538,30,16.766,2024.74,22.19,0.0,0.013699999999999476,-5.689893001203927e-18,1.5832044490887274
1360,1163875300,2,Right,8567,30,-44.38,2044.238,22.05,0.0,0.007250000000000228,-1.9999999999526473e-07,1.5404608079919462
1360,1113433532000,5,Right,3971,482,51.622,64.945,25.7,0.0,0.012069999999999937,9.999999999763671e-08,1.560854649371868
2286,1113433808100,6,Right,6732,834,66.508,22.895,32.77,0.0,0.040010000000000046,0.0004001029628543839,1.5757950354725103
2742,1113437567400,6,Right,8005,1258,66.117,63.413,3.13,0.0,0.001139999999999759,-4.300000000003478e-06,1.5007357441564342
2742,1113437598900,6,Right,8320,1258,66.026,247.738,8.27,0.0,0.0,0.0,0.0
2742,1113437599000,6,Right,8321,1258,66.026,248.565,8.27,0.0,0.0,0.0,0.0
2742,1113437599100,6,Right,8322,1258,66.026,249.392,8.26,-0.02,0.0,0.0,0.0
2742,1113437599200,6,Right,8323,1258,66.027,250.218,8.26,0.0,0.0,0.0,0.0
2742,1113437599400,6,Right,8325,1258,66.027,251.871,8.27,0.0,0.0,0.0,0.0
2742,1113437599600,6,Right,8327,1258,66.027,253.524,8.27,0.0,0.0,0.0,0.0
2742,1113437599700,6,Right,8328,1258,66.028,254.331,8.44,2.88,0.0,0.0,0.0
2742,1113437599800,6,Right,8329,1258,66.028,255.176,8.86,5.42,0.0,0.0,0.0
2742,1113437600000,6,Right,8331,1258,66.025,257.062,9.15,-2.6,0.0,0.0,0.0
2742,1113437600100,6,Right,8332,1258,66.021,257.989,8.87,-5.3,0.0,0.0,0.0
2742,1113437600200,6,Right,8333,1258,66.017,258.835,8.47,-2.68,0.0,0.0,0.0
2742,1113437600400,6,Right,8335,1258,66.009,260.486,8.11,-2.39,0.0,0.0,0.0
2742,1113437600500,6,Right,8336,1258,66.005,261.301,7.74,-4.92,0.0,0.0,0.0
2742,1113437600600,6,Right,8337,1258,66.001,262.06,7.22,-6.13,0.0,0.0,0.0
